,Salinty
2018-12-18,0.06075388791707785
2018-12-23,0.21591948772638297
2018-12-28,0.16206565745476936
2019-01-02,0.17289542886663353
2019-01-07,0.13375967739732136
2019-01-12,0.2173701956633222
2019-01-17,0.11553716074433196
2019-01-22,0.14133401639677803
2019-01-27,0.11177100361953562
2019-02-01,0.1595573421102529
2019-02-06,0.12044964490376842
2019-02-11,0.19301974539978647
2019-02-16,0.13221035006475823
2019-02-21,0.17652759338111718
2019-02-26,0.09878659293823593
2019-03-08,0.12192061596996927
2019-03-13,0.11944939926396965
2019-03-18,0.06296257755909576
2019-03-23,0.10936261834820979
2019-03-28,0.11302931007153758
2019-04-02,0.14441969516493988
2019-04-07,0.14833650444194338
2019-04-12,0.14608498702908326
2019-04-17,0.11701992982687404
2019-04-22,0.13372312072994394
2019-04-27,0.1419817065443707
2019-05-02,0.1300084145421864
2019-05-07,0.08854675049813131
2019-05-12,0.12137068123602804
2019-05-17,0.09135635472855701
2019-05-22,0.13447329904809002
2019-05-27,0.09892258355566388
2019-06-01,0.1210467430396994
2019-06-06,0.09873315534476437
2019-06-11,0.12201974723011712
2019-10-04,0.0820469766070691
2019-10-09,0.1336287232121858
2019-10-14,0.17415118611125585
2019-11-23,0.16512956552920066
2019-11-28,0.21454868350125603
2019-12-03,0.17044077699872232
2019-12-08,0.22540708342204607
2019-12-13,0.1610437810524614
2019-12-18,0.21592030005005644
2019-12-23,0.15249000139555885
2019-12-28,0.18713488415482196
2020-01-12,0.1209121497688824
2020-01-17,0.17553973646150173
2020-02-01,0.15110727666463084
2020-02-06,0.13224288380481583
2020-02-11,0.1033479869222713
2020-02-16,0.13813593234047822
2020-02-21,0.08371827052514744
2020-02-26,0.12422324371484667
2020-03-02,0.08748420447144027
2020-03-07,0.13642658084025214
2020-03-12,0.0925074064850111
2020-03-17,0.1263709431725195
2020-03-22,0.10423305477174233
2020-04-01,0.1482742673770221
2020-04-06,0.18943011515240835
2020-04-11,0.1742875726604773
2020-04-16,0.19940299563139083
2020-04-21,0.18952087350732075
2020-04-26,0.23506876897818266
2020-05-01,0.23099195838842843
2020-05-06,0.24732480310505606
2020-05-11,0.1979928592163177
2020-05-16,0.28337315167569943
2020-05-21,0.2572986469566783
2020-05-26,0.28212125137287364
2020-05-31,0.2777721948776093
2020-06-05,0.2563473146135357
2020-06-10,0.23871376470379926
2020-06-30,0.22604746002699025
2020-09-28,0.1868269168350492
2020-10-18,0.2102470634015616
2020-10-23,0.1383040061350585
2020-10-28,0.18110704690390975
2020-11-02,0.19137358430469137
2020-11-07,0.1553836337419932
2020-11-12,0.2010042583707084
2020-11-17,0.20192903405676596
2020-11-22,0.2305419720122437
2020-11-27,0.1796993346274145
2020-12-02,0.229123776923988
2020-12-07,0.18210133553858748
2020-12-17,0.2194502647210621
2020-12-22,0.20423498066018034
2020-12-27,0.16687177025859712
2021-01-01,0.21530490183317927
2021-01-06,0.20779537450708319
2021-01-16,0.23048478215028056
2021-01-21,0.21412575848371942
2021-01-26,0.19480452787796873
2021-01-31,0.20976806819577276
2021-02-05,0.17778987080257136
2021-02-10,0.21793237182314715
2021-02-15,0.1860293930746227
2021-02-20,0.19747743304842078
2021-02-25,0.1933179362590645
2021-03-02,0.187532346698817
2021-03-07,0.11929597489429708
2021-03-17,0.15090545589289073
2021-03-27,0.18843003007094333
2021-04-01,0.1907270860131272
2021-04-06,0.1330481062778414
2021-04-11,0.13792146974687913
2021-04-16,0.12747912929771912
2021-04-26,0.1123235897752619
2021-05-06,0.08168513158379143
2021-05-11,0.11818398121448775
2021-05-16,0.062340074389709704
2021-05-21,0.11355566276866237
2021-05-26,0.07413563771978207
2021-07-05,0.11437234401491134
2021-10-13,0.15774901676571246
2021-10-23,0.12764409027418494
2021-10-28,0.17544938638911256
2021-11-02,0.11514271980789909
2021-11-07,0.13858833466800538
2021-11-12,0.06433175101866445
2021-11-27,0.09014388996910097
2021-12-07,0.12640274515699
2021-12-12,0.2056416939677654
2021-12-22,0.16520059855607946
2021-12-27,0.13068094292641455
2022-01-21,0.10347152125663038
2022-01-26,0.10349402179096778
2022-01-31,0.02785920809703143
2022-02-05,0.03169386052779251
2022-02-10,0.029895242837780226
2022-02-15,0.04719750083465917
2022-02-20,0.042358539359809703
2022-03-02,0.029641245721945965
2022-03-12,0.02325717383445485
2022-03-17,0.03999214605453595
2022-03-22,0.025489989170822694
2022-03-27,0.053387666644234555
2022-04-01,0.03091117660616414
2022-04-06,0.043399754222667446
2022-04-16,0.029705744500794252
2022-04-26,0.039365174442229915
2022-05-01,0.03284649647482653
2022-05-06,0.059758542810840684
2022-05-11,0.04730891725210823
2022-05-16,0.04836201266215402
2022-05-21,0.03876845113604405
2022-05-26,0.05393245550395652
2022-05-31,0.056418814393973074
2022-10-03,0.06470686080256621
2022-10-13,0.05421290147522124
2022-10-18,0.04624369810681411
2022-10-23,0.06067808753373673
2022-10-28,0.0591070590457725
2022-11-02,0.07475561684473672
2022-11-07,0.07372493197177074
2022-11-12,0.08832366181899534
2022-11-17,0.08367426386817911
2022-11-22,0.07480860073212406
2022-11-27,0.07136946646125096
2022-12-02,0.06245367125700783
2022-12-07,0.040097625833825375
2022-12-17,0.04839409922628646
2022-12-22,0.04641215846019626
2022-12-27,0.031883551785168295
